checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,5000,-66.08499908447266,1250,timeout,990.8091451357684,24.999999999999556,-51.63903481400057
1,2,5000,-40.816436767578125,1250,timeout,843.5379660447529,24.999999999999556,-89.49981074619892
1,3,5000,-60.54505920410156,1250,timeout,1029.1831370028674,24.999999999999556,-69.6059382595864
1,4,5000,-23.873825073242188,1250,timeout,566.7992596125467,24.999999999999556,-60.1199828421922
1,5,10000,-75.60566711425781,1250,timeout,3406.175057916477,24.999999999999556,-101.41742001132722
1,6,10000,-69.28756713867188,1250,timeout,1610.5621344579254,24.999999999999556,-81.15142326846347
1,7,10000,-78.601318359375,1250,timeout,3569.5326687039314,24.999999999999556,-109.20366783186105
1,8,10000,-68.90452575683594,1250,timeout,1777.820836084507,24.999999999999556,-81.43751472215129
1,9,15000,-34.30386734008789,1250,timeout,557.0491141301164,24.999999999999556,-78.341472035235
1,10,15000,0.04339027404785156,1250,timeout,249.75541027379668,24.999999999999556,-59.55906562940472
1,11,15000,-88.6445541381836,1250,timeout,2302.865400076864,24.999999999999556,-76.04310167949772
1,12,15000,-75.55226135253906,1250,timeout,2000.7996589201882,24.999999999999556,-79.1681496891155
1,13,20000,-80.27261352539062,1250,timeout,2488.8209825528106,24.999999999999556,-71.17079630687957
1,14,20000,-79.8388442993164,1250,timeout,2618.381266956466,24.999999999999556,-70.48133624543658
1,15,20000,-75.00872039794922,1250,timeout,2049.045844487077,24.999999999999556,-85.59871811232695
1,16,20000,-75.59825134277344,1250,timeout,2152.3304311751085,24.999999999999556,-82.60836903735661
2,17,25480,-38.13471221923828,1250,timeout,666.3509153673477,24.999999999999556,-51.94971706841404
2,18,25480,-32.654354095458984,1250,timeout,483.3446163561353,24.999999999999556,-55.291762493584464
2,19,25480,7.564006805419922,1250,timeout,159.5666470649601,24.999999999999556,-76.51778147183185
2,20,25480,-51.558555603027344,1250,timeout,848.0173248081692,24.999999999999556,-60.31151175475886
2,21,30480,-21.87057876586914,1250,timeout,505.018971460779,24.999999999999556,-59.73924959243941
2,22,30480,-57.62322998046875,1250,timeout,1031.2001037242262,24.999999999999556,-51.94605913723566
2,23,30480,-70.10938262939453,1250,timeout,2202.442680937865,24.999999999999556,-67.7129132861256
2,24,30480,-80.1385498046875,1250,timeout,3441.8864096332127,24.999999999999556,-87.11149233439166
2,25,35480,-48.844722747802734,1250,timeout,951.8054993390825,24.999999999999556,-64.78804338753116
2,26,35480,-62.800079345703125,1250,timeout,851.6463161132161,24.999999999999556,-65.43074382110791
2,27,35480,-52.53877258300781,1250,timeout,801.8897421284985,24.999999999999556,-61.366376981678265
2,28,35480,-61.25048065185547,1250,timeout,1011.4597134127105,24.999999999999556,-54.2810746012635
2,29,40480,-76.53900909423828,1250,timeout,2230.645748471759,24.999999999999556,-64.17432171057493
2,30,40480,-77.9998550415039,1250,timeout,1673.7756697172001,24.999999999999556,-65.74148277070147
2,31,40480,9.554458618164062,1250,timeout,17.542413419981784,24.999999999999556,-65.04999401004685
2,32,40480,-49.991722106933594,1250,timeout,925.0263597645628,24.999999999999556,-65.25463236552676
3,33,45960,17.316492080688477,1250,timeout,44.255751090259835,24.999999999999556,-63.56837785825623
3,34,45960,-73.77335357666016,1250,timeout,1608.4042861983655,24.999999999999556,-67.67806337661611
3,35,45960,15.967473030090332,1250,timeout,5.284150813391458,24.999999999999556,-49.53584115812872
3,36,45960,10.92203140258789,1250,timeout,99.85810265559078,24.999999999999556,-59.39425028591782
3,37,50960,-74.82050323486328,1250,timeout,2146.7643925804978,24.999999999999556,-66.00084598594555
3,38,50960,-77.87800598144531,1250,timeout,1830.4940292763936,24.999999999999556,-67.84456106311032
3,39,50960,11.96290397644043,1250,timeout,36.05564336723509,24.999999999999556,-59.73043563133811
3,40,50960,6.6080780029296875,1250,timeout,5.240900273977411,24.999999999999556,-60.61198606651592
3,41,54808,106.92178344726562,962,hit,2.424593411998393,19.23999999999968,155.95519251202276
3,42,54828,126.07215881347656,967,hit,1.7930910091338594,19.339999999999677,157.5949462835785
3,43,55960,18.788047790527344,1250,timeout,5.393092776048104,24.999999999999556,-57.70431042112992
3,44,55960,-79.1698226928711,1250,timeout,2817.432351550332,24.999999999999556,-69.5153321576679
3,45,58212,121.87700653076172,846,hit,2.4323585944922534,16.919999999999728,155.65697133579323
3,46,58564,108.5123519897461,939,hit,1.4197999526758558,18.77999999999969,157.09034921709844
3,47,58904,121.68158721923828,736,hit,4.933156504203398,14.719999999999775,149.25265205542763
3,48,60960,16.201169967651367,1250,timeout,6.970509092087315,24.999999999999556,-63.395966464506905
4,49,64812,124.14825439453125,843,hit,4.062261148231463,16.85999999999973,154.61818461926947
4,50,65212,120.09309387207031,943,hit,3.304481121569769,18.859999999999687,158.9333313956887
4,51,66440,12.667415618896484,1250,timeout,6.340263908069914,24.999999999999556,-85.31193848559673
4,52,66440,-85.02495574951172,1250,timeout,2603.9724861911586,24.999999999999556,-71.35922718008955
4,53,69812,-80.77375030517578,1250,timeout,2087.408760704136,24.999999999999556,-68.95298214369447
4,54,70068,112.57603454589844,907,hit,3.512467713114523,18.139999999999702,156.98575398268378
4,55,70212,-78.40889739990234,1250,timeout,1853.576837987414,24.999999999999556,-64.69174852384054
4,56,71440,-36.537506103515625,1250,timeout,564.6738226240487,24.999999999999556,-64.84657022172567
4,57,73700,111.95085906982422,872,hit,4.290139733727038,17.439999999999717,153.22169722117928
4,58,74812,-87.6968994140625,1250,timeout,2438.737436506256,24.999999999999556,-66.22958623454142
4,59,75068,14.067581176757812,1250,timeout,6.290389928234169,24.999999999999556,-67.88932304583741
4,60,76440,7.995933532714844,1250,timeout,11.163993276853219,24.999999999999556,-53.96365767227088
4,61,78596,114.03412628173828,882,hit,4.823564188210983,17.639999999999713,156.3683600020303
4,62,78700,-65.09440612792969,1250,timeout,1207.950163067499,24.999999999999556,-64.53513407058028
4,63,79812,10.667974472045898,1250,timeout,6.430393639783304,24.999999999999556,-58.70791628067084
4,64,81440,18.09280776977539,1250,timeout,13.669070566091506,24.999999999999556,-59.27041370254517
5,65,85812,123.57522583007812,973,hit,4.175167302668083,19.459999999999674,158.47305719021978
5,66,86920,4.877796173095703,1250,timeout,9.137611998997958,24.999999999999556,-75.54910519614285
5,67,86920,-0.9092330932617188,1250,timeout,5.603866134657856,24.999999999999556,-84.88627546368517
5,68,86920,-81.94317626953125,1250,timeout,1641.987762151246,24.999999999999556,-61.20533003958853
5,69,90812,-71.32965850830078,1250,timeout,2058.395317120249,24.999999999999556,-63.38817324148522
5,70,91920,-87.13114166259766,1250,timeout,1835.0950231862892,24.999999999999556,-65.16388800606836
5,71,91920,14.666629791259766,1250,timeout,9.094210881223512,24.999999999999556,-67.22071665900316
5,72,91920,-60.41326904296875,1250,timeout,874.2466817597663,24.999999999999556,-67.285907207131
5,73,94964,116.2363510131836,1038,hit,4.649378832637274,20.759999999999646,159.99905581033227
5,74,95168,122.91664123535156,812,hit,4.164628727524148,16.239999999999743,154.0047319243086
5,75,95288,120.72068786621094,842,hit,4.524646948403975,16.83999999999973,153.21888941517452
5,76,96920,9.56561279296875,1250,timeout,10.636527586795847,24.999999999999556,-84.55965559132434
5,77,98616,116.26498413085938,832,hit,1.8490127348280838,16.639999999999734,153.73762946216624
5,78,99964,13.640039443969727,1250,timeout,6.544616368548659,24.999999999999556,-45.62213206557042
5,79,100112,118.0654525756836,798,hit,3.0579873515592406,15.959999999999749,150.65866800502832
5,80,100168,8.569108963012695,1250,timeout,5.729524454407052,24.999999999999556,-67.97813442056788
